player_id,name,country,club,league,games_played,games_started,minutes_played,minutes_per_90,goals,assists,non_penalty_goals,penalty_goals,penalty_attempted,yellow_cards,red_card,goals_per_90,assits_per_90,non_penalty_goals_per_90,DF,FW,GK,MF
363,Daniel Caligiuri,ITA,Augsburg,Bundesliga,10.0,2.0,258.0,2.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.35,0.0,0.35,1,1,0,0
364,Dominic Calvert-Lewin,ENG,Everton,Premier League,6.0,4.0,339.0,3.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.27,0.0,0.27,0,1,0,0
365,Mahdi Camara,FRA,Brest,Ligue 1,10.0,7.0,582.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
366,Mohamed Camara,GUI,Roma,Serie A,8.0,5.0,376.0,4.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1
367,Mohamed Camara,MLI,Monaco,Ligue 1,11.0,9.0,799.0,8.9,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0,0,0,1
368,Ousmane Camara,FRA,Angers,Ligue 1,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
369,Eduardo Camavinga,FRA,Real Madrid,La Liga,14.0,5.0,511.0,5.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1
370,Nicolò Cambiaghi,ITA,Empoli,Serie A,9.0,1.0,255.0,2.8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.35,0.0,0.35,0,1,0,1
371,Andrea Cambiaso,ITA,Bologna,Serie A,13.0,11.0,906.0,10.1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0.2,1,0,0,0
372,Axel Camblan,FRA,Brest,Ligue 1,3.0,0.0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
373,Sergio Camello,ESP,Rayo Vallecano,La Liga,14.0,11.0,934.0,10.4,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.19,0.19,0.39,0,1,0,0
374,Chem Campbell,WAL,Wolves,Premier League,5.0,0.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
375,Emre Can,GER,Dortmund,Bundesliga,10.0,3.0,399.0,4.4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,1
376,Sergio Canales,ESP,Betis,La Liga,11.0,9.0,856.0,9.5,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.11,0.0,0.11,0,1,0,1
377,Matteo Cancellieri,ITA,Lazio,Serie A,13.0,1.0,196.0,2.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0
378,João Cancelo,POR,Manchester City,Premier League,14.0,14.0,1116.0,12.4,2.0,1.0,2.0,0.0,0.0,3.0,1.0,0.16,0.08,0.24,1,0,0,0
379,Antonio Candreva,ITA,Salernitana,Serie A,15.0,13.0,1163.0,12.9,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.15,0.08,0.23,1,0,0,1
380,Thomas Cannon,IRL,Everton,Premier League,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
381,Sergi Canós,ESP,Brentford,Premier League,4.0,0.0,74.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
382,Ander Capa,ESP,Athletic Club,La Liga,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
383,Pierrick Capelle,FRA,Angers,Ligue 1,12.0,6.0,581.0,6.5,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.15,0.15,1,0,0,1
384,Étienne Capoue,FRA,Villarreal,La Liga,10.0,10.0,836.0,9.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1
385,Gianluca Caprari,ITA,Monza,Serie A,15.0,13.0,958.0,10.6,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.09,0.09,0.19,0,1,0,1
386,Francesco Caputo,ITA,Sampdoria,Serie A,15.0,13.0,1094.0,12.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0,1,0,0
387,Maxence Caqueret,FRA,Lyon,Ligue 1,14.0,11.0,973.0,10.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.09,0,0,0,1
388,Andrea Carboni,ITA,Monza,Serie A,4.0,1.0,167.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
389,Valentin Carboni,ITA,Inter,Serie A,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
390,Isaac Carcelen,ESP,Cádiz,La Liga,7.0,5.0,452.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1,0,0,0
391,Irvin Cardona,FRA,Brest,Ligue 1,10.0,1.0,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
392,Carlos,BRA,Monza,Serie A,14.0,14.0,1219.0,13.5,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.22,0.07,0.3,1,0,0,0
393,Diego Carlos,BRA,Aston Villa,Premier League,2.0,2.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
394,Juan Carlos,ESP,Girona,La Liga,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
395,José Carlos Lazo,ESP,Almería,La Liga,1.0,0.0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
396,José Carlos Lazo,ESP,Espanyol,La Liga,7.0,0.0,117.0,1.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.77,0.0,0.77,0,1,0,1
397,Carmona,ESP,Sevilla,La Liga,9.0,4.0,442.0,4.9,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.41,0.2,0.61,1,0,0,0
398,Marco Carnesecchi,ITA,Cremonese,Serie A,6.0,6.0,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
399,Yannick Carrasco,BEL,Atlético Madrid,La Liga,13.0,8.0,739.0,8.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.12,0.0,0.12,1,1,0,0
400,Dani Carvajal,ESP,Real Madrid,La Liga,12.0,10.0,872.0,9.7,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.1,0.1,1,0,0,0
401,Fabio Carvalho,POR,Liverpool,Premier League,11.0,4.0,337.0,3.7,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.53,0.0,0.53,0,1,0,1
402,Matis Carvalho,POR,Montpellier,Ligue 1,2.0,1.0,136.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
403,William Carvalho,POR,Betis,La Liga,13.0,12.0,926.0,10.3,2.0,1.0,2.0,0.0,0.0,3.0,0.0,0.19,0.1,0.29,0,0,0,1
404,Nicolò Casale,ITA,Lazio,Serie A,8.0,8.0,686.0,7.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0
405,Casals,ESP,Girona,La Liga,2.0,0.0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
406,Casemiro,BRA,Manchester Utd,Premier League,11.0,7.0,712.0,7.9,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.13,0.13,0.25,0,0,0,1
407,Casemiro,BRA,Real Madrid,La Liga,1.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
408,Matty Cash,POL,Aston Villa,Premier League,13.0,12.0,1028.0,11.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0,0,0
